Көрсөткүчтөрдүн аталышы,Наименование показателей,Name of indicators,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Баары,Всего,Total,3366.0,3099.0,3286.0,3467.0,4257.0,5627.0,6520,8881,10862.0,15547.0,19529.0,23598.0,25321,25774,24480
анын ичинен:,в том числе:,ncluding:,,,,,,,,,,,,,,,
Афганистан,Афганистан,Afghanistan,73.0,74.0,54.0,66.0,107.0,123.0,148,169,161.0,141.0,49.0,274.0,347,358,229
Кытай,Китай,China,539.0,433.0,385.0,255.0,267.0,187.0,269,273,220.0,204.0,99.0,216.0,399,494,910
Индия,Индия,India,581.0,788.0,1137.0,1709.0,2377.0,3917.0,4745,6828,8662.0,10749.0,12272.0,14377.0,15306,14424,12610
Иран,Иран,Iran,17.0,21.0,25.0,2.0,7.0,7.0,2,1,3.0,9.0,7.0,3.0,10,2,1
Монголия,Монголия,Mongolia,13.0,7.0,2.0,1.0,8.0,8.0,6,9,13.0,19.0,26.0,26.0,20,14,22
Непал,Непал,Nepal,82.0,50.0,21.0,45.0,23.0,17.0,15,24,11.0,7.0,3.0,1.0,4,9,2
Сирия,Сирия,Syria,27.0,24.0,43.0,7.0,15.0,16.0,14,16,20.0,24.0,21.0,10.0,23,16,22
Пакистан,Пакистан,Pakistan,955.0,928.0,778.0,628.0,559.0,413.0,390,579,830.0,3533.0,6003.0,7498.0,8407,9589,9110
Турция,Турция,Turkey,793.0,727.0,772.0,679.0,696.0,695.0,655,624,510.0,532.0,509.0,499.0,467,425,444
Грузия,Грузия,Georgia,5.0,4.0,3.0,1.0,2.0,1.0,-,-,1.0,2.0,1.0,1.0,-,-,-
Башка өлкөлөр,Другие страны,Other countries,281.0,43.0,66.0,74.0,196.0,243.0,276,358,431.0,327.0,539.0,693.0,338,443,1130
